,GRID_ID,geometry,idle_count,idle_time_count,pickup_count,dropoff_count,violations,parks,rest_indian,rest_cheap,hotel,Bangladesh,rs_count
0,BZ-45,"POLYGON ((-73.88922678226744 40.72991440009237, -73.89239243935282 40.72991740192658, -73.8939719487487 40.73200443134869, -73.89238570331885 40.73408852385391, -73.88921984806963 40.73408552183353, -73.88764043730328 40.73199842749492, -73.88922678226744 40.72991440009237))",0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0.0
1,CC-66,"POLYGON ((-73.8751493522219 40.64022017573762, -73.87831075275533 40.64022356468009, -73.87988769935566 40.64231081081343, -73.87830314547435 40.64439473226836, -73.87514154730967 40.64439134311561, -73.87356470022596 40.64230403271773, -73.8751493522219 40.64022017573762))",0.61875,209.358645833,0.396875,1.43125,1.0,0.0,0,0,0,0,0.0
2,CF-32,"POLYGON ((-73.85951521552445 40.78556019282625, -73.85952655529981 40.78554531908177, -73.85952369524338 40.78556195455827, -73.85951521552445 40.78556019282625))",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
3,BG-76,"POLYGON ((-73.97948851930843 40.59857430474219, -73.98264795164813 40.59857482521758, -73.98422717516245 40.60066064777539, -73.9826468675786 40.60274601489655, -73.97948723785332 40.60274549438886, -73.97790811376507 40.60065960679248, -73.97948851930843 40.59857430474219))",3.29315068493,1175.5796347,0.150684931507,4.1698630137,0.0,0.0,0,17,0,0,0.0
4,CP-44,"POLYGON ((-73.8132394398212 40.7339873629611, -73.81640528584234 40.73399245381192, -73.81798251118471 40.73608052358956, -73.81639379245733 40.73816356686569, -73.8132277482493 40.73815847569914, -73.81165062184476 40.73607034157359, -73.8132394398212 40.7339873629611))",1.8904109589,428.033835616,1.32054794521,16.6904109589,1.0,0.0,0,4,0,0,0.0
5,CD-55,"POLYGON ((-73.87031402510296 40.68818322868787, -73.87347769939663 40.68818675051218, -73.87505562882632 40.69027405129174, -73.87346978429243 40.69235789432312, -73.87030591208313 40.69235437228033, -73.86872808189156 40.69026700742415, -73.87031402510296 40.68818322868787))",0.4265129683,107.779346782,0.325648414986,2.87031700288,0.0,0.0,0,3,0,0,0.0
6,CK-57,"POLYGON ((-73.84186075637587 40.67980532946017, -73.84027412340025 40.68188871811597, -73.83711074923632 40.68188428346341, -73.83553420656946 40.67979646043111, -73.83712093717925 40.6777131371062, -73.84028411349016 40.67771757148364, -73.84186075637587 40.67980532946017))",6.26575342466,1955.43945205,0.813698630137,4.28493150685,0.0,3.0,2,10,0,0,0.0
7,CR-41,"POLYGON ((-73.80369275249568 40.75065600221615, -73.80211562910841 40.74856774054449, -73.80370504324509 40.74648489732609, -73.80687148241213 40.74649025027583, -73.80844870481424 40.74857844677448, -73.80685938992384 40.75066135549786, -73.80369275249568 40.75065600221615), (-73.80560734958534 40.74889699976247, -73.80566804038226 40.74887008692415, -73.80571584118593 40.74884641215256, -73.80576946965344 40.74881758727553, -73.80580295720895 40.74879673483737, -73.80587109764289 40.74874925693582, -73.80591857982414 40.74871662148487, -73.80593244437443 40.74870886445371, -73.80595599005912 40.74869864733279, -73.80598294598143 40.74868799560297, -73.80601180777921 40.74867832592915, -73.80604589733177 40.74866986542893, -73.8060847534564 40.74866403162176, -73.80610788285212 40.74866257661574, -73.80613448817199 40.74866293657675, -73.80617253511301 40.74866580118921, -73.80620661121417 40.74867091037896, -73.80623614291275 40.74867842527635, -73.80627089647251 40.74869081169413, -73.80630498098302 40.74870484580703, -73.80631630720872 40.74871079830252, -73.80632576193443 40.7487169736777, -73.80637144248746 40.74875372818314, -73.80642138106437 40.74879659527269, -73.80644371364227 40.7488126528464, -73.80651092948762 40.7488513885803, -73.80658705236642 40.74888025165036, -73.80666817191346 40.74889777665221, -73.80669825652058 40.74889883571414, -73.80672587124731 40.74889781044963, -73.80675206202761 40.74889456753901, -73.80677527405219 40.74888914129598, -73.80679899198731 40.74888075052294, -73.80682217204631 40.7488700112178, -73.80684030649336 40.74885934359185, -73.8068573237251 40.74884684605789, -73.80687753082697 40.74882824031885, -73.80688526535415 40.74881922929301, -73.80689153140753 40.74881028874597, -73.80690182852055 40.74879139533461, -73.80690940313073 40.74877219118547, -73.80691542502603 40.74875352473794, -73.80691663861613 40.74874743033103, -73.80691703354688 40.74874190187203, -73.80691607188939 40.74871418351437, -73.80691381994016 40.74868225581876, -73.80689985418033 40.74855748498688, -73.80689027963871 40.74843332485384, -73.80688644011384 40.74832819307015, -73.80688620874821 40.74825687241884, -73.80688807785455 40.74819619929764, -73.80689111640518 40.74814833336594, -73.80689643965707 40.74806471207551, -73.80690022141728 40.74803004794153, -73.80689980402541 40.7479865445809, -73.80689712806769 40.74796201925043, -73.8068929033023 40.74794077727842, -73.80688282201241 40.74790568647353, -73.80687372817459 40.74788124043235, -73.80687139586627 40.74787704915747, -73.80686871898135 40.74787327063818, -73.80686569735546 40.74786996160616, -73.8068623653603 40.74786711041237, -73.80685365800657 40.74786088230313, -73.80685030017588 40.74785918281602, -73.80684864428528 40.7478585595888, -73.80684698795338 40.74785808854689, -73.80683461133965 40.74785506909805, -73.80682321674263 40.74785231244236, -73.80680826762595 40.74780952222361, -73.80679914365247 40.74777914987951, -73.80678684679872 40.74773230461418, -73.80677445107467 40.74767872968167, -73.80676206230935 40.74760643408847, -73.80675264631442 40.74753388233349, -73.80676065935013 40.74753086106378, -73.80676619712909 40.74752803375279, -73.80676915097087 40.7475261296303, -73.80677211780235 40.74752382930586, -73.80677900424789 40.7475173211771, -73.80678192577084 40.74751390414586, -73.8067844248607 40.74750998302167, -73.80678818188476 40.74750059612014, -73.80678939488921 40.7474946998244, -73.80678979170347 40.74748852300179, -73.80678936033043 40.7474821196629, -73.80678811224541 40.74747561589803, -73.80678059286167 40.74745540487884, -73.8067609263034 40.74741433571379, -73.80674960122875 40.74739580315885, -73.80673286100057 40.74737456809557, -73.80671561253563 40.74735710440691, -73.8066935453403 40.74733950745777, -73.80666543176776 40.747320477552, -73.80665355123051 40.74731383887183, -73.80664203401499 40.74730848852741, -73.80659332893812 40.74728971219668, -73.80653441131265 40.74726891956301, -73.80651761054278 40.74726448785511, -73.80649589365217 40.74726084033309, -73.8064737101177 40.74725886696882, -73.8064463474058 40.74725855984285, -73.80641207404628 40.74726086247589, -73.80637944813118 40.74726668705544, -73.80635195547689 40.74727442122968, -73.80632397033818 40.74728456793208, -73.80629805550484 40.7472953304552, -73.80628179569958 40.74730398401146, -73.80626442739842 40.74731596758232, -73.80624866520661 40.74732899033766, -73.80621475766722 40.74736019804958, -73.80617089265361 40.74739936840098, -73.80615776657677 40.74740980121488, -73.80614207083208 40.7474203197532, -73.8060960188412 40.74744604180297, -73.80605548838301 40.74746637908594, -73.80601625825052 40.74748337765806, -73.80597354919811 40.74749960492429, -73.80593689062143 40.74751179098119, -73.80589553187743 40.74752377819806, -73.80585922518129 40.74753303727022, -73.80576010134617 40.74755534684223, -73.80560578039868 40.7475884413263, -73.80552346318376 40.74760501580444, -73.80542617515285 40.74762302375821, -73.80534349873807 40.74763687796529, -73.80524455064308 40.74765161411435, -73.80514194583846 40.74766563259054, -73.80503656076704 40.74767885382182, -73.80502515106304 40.74769343175103, -73.80501220811672 40.74770998820206, -73.80500851387826 40.74771401622614, -73.80500373043728 40.74771799648013, -73.80498949544381 40.747726942345, -73.80498347134314 40.7477300298947, -73.80497730694717 40.74773250486083, -73.80497112076753 40.7477343314236, -73.80496500766127 40.74773546471819, -73.8049500727652 40.7477367640759, -73.80493677633494 40.74773654254613, -73.80492478416566 40.74773530654974, -73.80491595747081 40.74773350859331, -73.80490484810083 40.74773002281887, -73.80489544736449 40.74772612480313, -73.80488671041331 40.74772158134603, -73.80487977300449 40.74771712018153, -73.80487155037146 40.74771081259785, -73.80486537284786 40.74770523698972, -73.804861975489 40.74770128700681, -73.80485977152918 40.74769778929983, -73.80476628715394 40.7477066530739, -73.80469782052482 40.74771201299289, -73.80455704374646 40.74772071625219, -73.80445726553356 40.7477277149486, -73.80442639786368 40.7477314185611, -73.80439910142925 40.74773710754781, -73.80437649033213 40.7477436077394, -73.80436837036186 40.74774670880698, -73.80436138637363 40.74775005584129, -73.80434691669615 40.74775824480109, -73.8043426075072 40.74776159457682, -73.80434087377529 40.74776329449328, -73.80433940043385 40.74776502997194, -73.80433529843336 40.74777120949701, -73.80433247424715 40.7477773191521, -73.80432921221572 40.74778737138992, -73.80432775680382 40.74779509618089, -73.80432767486651 40.7477984018084, -73.80432805655799 40.74780188652419, -73.80433021293452 40.74780948237464, -73.80433359128219 40.74781626804223, -73.80433824900415 40.74782245344284, -73.80434116628173 40.74782536704095, -73.80434469787689 40.74782835372319, -73.80435507239963 40.74783571049, -73.80436646672665 40.74784255569813, -73.80438116343285 40.74784980183701, -73.8044046858237 40.74785959519173, -73.80442985790639 40.74786808470483, -73.80448809829359 40.74788559040812, -73.80458091843801 40.74791354662386, -73.80461362577256 40.74792412905561, -73.80464184748229 40.7479348389462, -73.80465847138464 40.74794307077305, -73.80467347801942 40.74795326386387, -73.80468824148051 40.74796643542228, -73.80470050234814 40.74798063832024, -73.8047102487452 40.7479962885732, -73.8047137187488 40.74800413788523, -73.80471621797446 40.74801193242124, -73.80471860133683 40.74802693803262, -73.80471836389719 40.74804330887383, -73.80471562156659 40.74805785644104, -73.804710012128 40.74807296646722, -73.80469837265329 40.74809317215173, -73.80468308057806 40.74811126445135, -73.8046658782245 40.74812665198401, -73.80464828199362 40.74813906716818, -73.80463059681405 40.74814951008529, -73.80461617701276 40.74815682386887, -73.80459892617523 40.74816410673326, -73.80458228472281 40.7481699146956, -73.80456695266059 40.74817377077391, -73.80454892269819 40.74817661190166, -73.80452225053 40.74817892597064, -73.80449668535854 40.74817926079377, -73.8044662227378 40.74817802041276, -73.80443577198795 40.74817677013819, -73.80436122257913 40.74817274523669, -73.80433618017189 40.74817247757149, -73.80429784811456 40.74817368216549, -73.80422341402741 40.74817876961566, -73.80417214941855 40.7481848329411, -73.80411234747687 40.74819497003303, -73.80405900648685 40.74820649586309, -73.80400713769518 40.74822069958422, -73.80390895567045 40.74825234653844, -73.80385677926279 40.74827046597941, -73.8038201137343 40.74828433440119, -73.80378946646492 40.7482979339059, -73.80376090860445 40.74831330285935, -73.80373284228935 40.74833062494555, -73.80371069013054 40.74834603992147, -73.80366488867909 40.74838263956735, -73.80364468328088 40.74840040817583, -73.80363314800745 40.7484128515473, -73.80362476675171 40.74842461590859, -73.80362190984647 40.74842974303525, -73.80361979953911 40.74843465711385, -73.8036138977848 40.748452432093, -73.80361039361884 40.74846825705642, -73.80361761138015 40.74846999743845, -73.80362455470231 40.74847245055481, -73.80362895356761 40.74847445718314, -73.80363306748538 40.74847672447297, -73.80364357164172 40.74848429764617, -73.80365224737197 40.74849314642344, -73.80365922755497 40.74850318188149, -73.80366152386139 40.74850787654418, -73.80366306156844 40.74851243663847, -73.80366455986932 40.74852193055113, -73.80366453610496 40.74852637812173, -73.80366397898318 40.74853060055659, -73.80366161612523 40.74854085331981, -73.80366003148447 40.74854418249971, -73.80365905629571 40.7485456216509, -73.80365793941597 40.74854692548418, -73.80364697705764 40.74855821718271, -73.80364143133672 40.74856366480963, -73.80368005694091 40.74862365048053, -73.80369919626696 40.74865023909353, -73.80371923954091 40.74867546047084, -73.80373990550146 40.74869832357358, -73.80376461792082 40.74872224806185, -73.80379050724346 40.74874459685887, -73.80381980561738 40.74876733057028, -73.80384468047001 40.74878436462756, -73.8038748212808 40.74880249906223, -73.80390839793338 40.74881996305654, -73.80395331036374 40.74884007582014, -73.80401227977644 40.74886358939186, -73.80403679061251 40.74887156457427, -73.80405995695111 40.74887771843731, -73.80410092299834 40.74888652304976, -73.80414523265465 40.74889461292633, -73.80418906843096 40.74890238680232, -73.8042137362922 40.74890529235184, -73.80427959663986 40.74890886223407, -73.80435504451963 40.74891365504526, -73.80439257036656 40.74891697861959, -73.8044348513392 40.74892197619573, -73.80450104978935 40.74893139082459, -73.80458712709667 40.74894512556222, -73.80465775446625 40.74895885204453, -73.80472076763007 40.74897235845774, -73.80476595859706 40.74898239468742, -73.80478387289556 40.74898596134692, -73.8048411979596 40.7489973724763, -73.8048692018892 40.74900175046569, -73.80490567120741 40.74900601761657, -73.80497014085323 40.74901144970083, -73.80503694080959 40.74901323683369, -73.80508403555947 40.74901245205073, -73.80515606421386 40.74900825147768, -73.8051927443898 40.74900520676668, -73.80519417883717 40.74900503089205, -73.80523160833216 40.74900043676072, -73.8052733549367 40.74899384358309, -73.80532027048092 40.74898508890198, -73.80535909737905 40.74897677979262, -73.80539804635868 40.7489672101649, -73.8054370463197 40.7489563979086, -73.80547601426902 40.74894437890387, -73.8055509581812 40.74891903907184, -73.80560734958534 40.74889699976247))",0.47619047619,60.7874338624,0.107142857143,1.13888888889,0.0,0.0,1,2,1,0,0.0
8,BH-29,"POLYGON ((-73.9746742212853 40.79670259739041, -73.97750177975343 40.79670318396863, -73.97685207880909 40.79763134848727, -73.97639951946736 40.79827321109612, -73.97628527865659 40.79843523522391, -73.97583055806094 40.79909228109561, -73.97578169354075 40.79915625671952, -73.97579140162645 40.7992096277512, -73.97576219478876 40.79926017384383, -73.97554385832208 40.79952825048973, -73.9752678326109 40.79993284984073, -73.97508668025979 40.80018953324549, -73.97496436816157 40.80036963449361, -73.97483924491115 40.80055824290908, -73.97466556714818 40.80081351437551, -73.97464662372433 40.80083942295057, -73.97308896053269 40.7987877808612, -73.9746742212853 40.79670259739041))",13.8465753425,947.778127854,2.74246575342,11.4547945205,0.0,0.0,1,12,13,0,0.0
9,CH-44,"POLYGON ((-73.85122961618363 40.73404270888764, -73.85439546675354 40.73404675532352, -73.85597388463201 40.73613430456318, -73.85438635161761 40.73821787174515, -73.85122030285984 40.73821382505829, -73.84964198487207 40.73612621143987, -73.85122961618363 40.73404270888764))",8.16438356164,1869.92369863,16.1424657534,41.3260273973,48.0,3.0,0,9,1,0,0.0
